id,HetGNN,KGAT,NIRec
u388,0,0,0.9
u389,0,0,0.7
u390,0.15,0.05,0.8
u391,0.15,0.05,0.9
u392,0.1,0.15,0.95
u393,0,0.2,1
u394,0.05,0.1,0.95
u395,0.1,0,0.9
u396,0.05,0.3,0.95
u397,0.05,0.05,0.8
u398,0.1,0.15,0.8
u399,0,0.05,0.85
u400,0.05,0.1,0.9
u401,0,0,0.9
u402,0,0.05,0.95
u403,0,0.05,0.95
u404,0,0,0.8
u405,0.05,0.05,0.95
u406,0,0.1,0.75
u407,0.1,0.15,0.9
u408,0.15,0.05,0.95
u409,0.1,0.05,0.9
u410,0,0,0.75
u411,0.15,0.05,0.85
u412,0.05,0,0.9
u413,0.1,0,0.9
u414,0.05,0.05,0.85
u415,0.05,0,0.95
u416,0,0.05,0.9
u417,0,0.05,0.7
u418,0,0.05,0.75
u419,0.05,0.05,0.75
u420,0.05,0.05,1
u421,0.05,0.05,0.6
u422,0.1,0.05,1
u423,0.05,0.1,0.75
u424,0.25,0.05,0.95
u425,0.05,0.15,0.85
u426,0,0,0.85
u427,0,0,0.95
u428,0,0.05,0.85
u429,0,0.1,0.9
u430,0.05,0,0.95
u431,0,0.05,0.95
u432,0.1,0.05,0.85
u433,0.05,0.05,0.8
u434,0,0.15,0.9
u435,0.1,0.05,0.95
u436,0.05,0,0.611111111
u437,0.05,0.1,0.85
u438,0.15,0,0.9
u439,0.05,0.05,0.9
u440,0,0,0.9
u441,0,0,0.8
u442,0.05,0.1,0.85
u443,0.05,0,0.6
u444,0.1,0.05,1
u445,0,0.05,0.75
u446,0,0.05,0.75
u447,0.05,0,0.85
u448,0,0.05,0.75
u449,0,0.05,0.75
u450,0.05,0,0.85
u451,0.05,0.1,0.85
u452,0,0.05,0.85
u453,0.05,0,0.7
u454,0.05,0.05,0.8
u455,0.05,0,0.7
u456,0,0.05,0.9
u457,0,0.05,0.75
u458,0.05,0.15,0.9
u459,0.05,0.05,0.9
u460,0.05,0.05,0.85
u461,0.1,0.05,0.9
u462,0,0,0.75
u463,0,0.15,0.75
u464,0.05,0.05,0.7
u465,0,0.05,0.95
u466,0,0,0.9
u467,0.1,0.05,0.75
u468,0.05,0.15,0.8
u469,0.05,0,0.9
u470,0,0.05,0.95
u471,0,0,0.9
u472,0.15,0.1,0.95
u473,0.15,0,0.75
u474,0.05,0.2,0.95
u475,0.1,0.05,0.85
u476,0.05,0.05,0.7
u477,0.15,0,0.85
u478,0.1,0.15,0.9
u479,0.05,0,0.55
u480,0,0.05,0.75
u481,0,0.05,0.8
u482,0.05,0.05,0.9
u483,0.05,0.1,0.9
u484,0.05,0.15,0.9
u485,0,0.05,0.85
u486,0.1,0.1,0.85
u487,0.1,0.15,0.85
u488,0.05,0.15,0.9
u489,0,0,0.9
u490,0,0,0.8
u491,0.05,0.05,0.9
u492,0.15,0.25,0.9
u493,0,0,0.95
u494,0,0,0.95
u495,0.05,0.15,0.7
u496,0,0.05,0.85
u497,0.05,0,0.8
u498,0.1,0,0.85
u499,0,0,0.578947368
u500,0.15,0.05,0.95
u501,0,0.05,0.75
u502,0,0.1,0.9
u503,0,0.05,0.85
u504,0.05,0.05,0.65
u505,0,0,0.75
u506,0.05,0,0.75
u507,0,0.05,0.95
u508,0.1,0.05,0.75
u509,0.05,0,0.8
u510,0.05,0.05,0.8
u511,0,0,0.9
u512,0.1,0.15,0.95
u513,0,0.1,0.6
u514,0.1,0.1,0.7
u515,0,0.1,0.7
u516,0.05,0,0.75
u517,0.2,0.15,0.8
u518,0.05,0.05,0.8
u519,0,0,0.95
u520,0.05,0.1,0.7
u521,0.05,0.1,0.8
u522,0,0.05,0.75
u523,0.05,0.15,0.95
u524,0,0.05,0.35
u525,0.05,0.1,0.9
u526,0.05,0.05,0.85
u527,0,0.05,0.75
u528,0.05,0.15,0.95
u529,0,0.1,0.9
u530,0,0.05,0.95
u531,0.1,0.2,0.9
u532,0,0.05,0.95
u533,0,0,0.75
u534,0.05,0.05,0.75
u535,0.05,0,0.85
u536,0.05,0.1,0.9
u537,0.05,0,0.85
u538,0.05,0.05,0.8
u539,0.2,0.1,1
u540,0.1,0.1,0.75
u541,0.05,0.05,0.85
u542,0,0.2,0.95
u543,0,0.15,0.85
