id,HetGNN,KGAT,NIRec
u335,0.7347,0.7572,0.8396
u336,0.7515,0.8476,0.7483
u337,0.6939,0.7913,0.6656
u338,0.5612,0.7595,0.648
u339,0.7359,0.847,0.6896
u340,0.7909,0.8565,0.7417
u341,0.7891,0.8283,0.6919
u342,0.8439,0.8815,0.8019
u343,0.7772,0.7871,0.7363
u344,0.7028,0.7641,0.788
u345,0.6792,0.8279,0.6204
u346,0.7951,0.8689,0.719
u347,0.6386,0.8575,0.6499
u348,0.7845,0.8911,0.8538
u349,0.6581,0.8569,0.7881
u350,0.7706,0.8437,0.7991
u351,0.846,0.8994,0.8804
u352,0.7133,0.8489,0.7199
u353,0.7066,0.8348,0.7474
u354,0.77,0.8033,0.7901
u355,0.8912,0.8916,0.8556
u356,0.7119,0.8301,0.7793
u357,0.8566,0.9097,0.9063
u358,0.7085,0.8075,0.7489
u359,0.7765,0.8544,0.8106
u360,0.7906,0.851,0.7913
u361,0.7213,0.8264,0.8112
u362,0.702,0.8752,0.7565
u363,0.769,0.8556,0.7529
u364,0.8356,0.8422,0.7836
u365,0.7358,0.8582,0.7153
u366,0.6396,0.8188,0.6916
u367,0.8272,0.8147,0.8112
u368,0.8146,0.853,0.7689
u369,0.8767,0.9145,0.8521
u370,0.3759,0.8694,0.6871
u371,0.8389,0.8545,0.8989
u372,0.6119,0.8416,0.5968
u373,0.6895,0.8962,0.7274
u374,0.7959,0.8584,0.7631
u375,0.791,0.8579,0.6346
u376,0.7029,0.7782,0.7527
u377,0.6052,0.7609,0.7206
u378,0.7355,0.793,0.6572
u379,0.7216,0.8556,0.773
u380,0.8486,0.8862,0.8562
u381,0.6951,0.7918,0.7136
u382,0.7905,0.8129,0.7792
u383,0.7671,0.8049,0.7773
u384,0.7533,0.8759,0.7316
u385,0.7555,0.8605,0.7212
u386,0.7899,0.8685,0.7799
u387,0.7111,0.7485,0.6838
u388,0.7924,0.791,0.777
u389,0.6792,0.8183,0.6612
u390,0.7154,0.8397,0.6998
u391,0.8217,0.8483,0.7921
u392,0.7808,0.844,0.7521
u393,0.8057,0.8777,0.8622
u394,0.8229,0.8738,0.8315
u395,0.7907,0.8425,0.8365
u396,0.754,0.8607,0.8096
u397,0.6871,0.7824,0.7147
u398,0.7126,0.7887,0.7256
u399,0.6989,0.7681,0.697
u400,0.7849,0.8635,0.8453
u401,0.1424,0.8665,0.8134
u402,0.7963,0.8669,0.8678
u403,0.8065,0.8586,0.7716
u404,0.6715,0.7733,0.6667
u405,0.7393,0.7935,0.7368
u406,0.7989,0.8742,0.7598
u407,0.8452,0.8835,0.8171
u408,0.8896,0.888,0.8725
u409,0.7901,0.7545,0.8417
u410,0.4029,0.6853,0.7071
u411,0.7458,0.7998,0.6688
u412,0.7443,0.7972,0.76
u413,0.7861,0.8607,0.8329
u414,0.767,0.8126,0.8235
u415,0.7844,0.8694,0.8096
u416,0.7526,0.8755,0.7211
u417,0.7746,0.8272,0.71
u418,0.7504,0.7808,0.7059
u419,0.6862,0.834,0.6173
u420,0.8165,0.8625,0.8639
u421,0.7774,0.8307,0.7374
