28,[7 161 529 1590 2440 2471 2992 3121 3318 3328 4511 4831 5498 5957 7057 7415 9649 10514 11037 11773],[1.671693e-06 3.0916476e-06 8.828867e-07 4.97459e-07 2.237509e-05 2.0065693e-06 0.00010085384 0.98138636 1.3217606e-05 3.7480157e-07 4.2141808e-05 8.4341345e-06 3.636806e-05 0.016082237 2.0740836e-05 0.00047467716 0.0012152309 0.00034466197 0.00021332705 3.0952127e-05]
29,[7 88 596 1228 3886 4867 11817],[0.02881891 0.0014328789 0.0003132875 4.5297336e-05 0.57681423 0.38430488 0.008270468]
30,[7 1590 4072 4651 6189 6348 8016 11882],[0.0017805815 9.5754025e-05 0.06809033 0.70120925 0.028432524 0.033214178 0.16715933 1.8085922e-05]
31,[7 2284 3054 3606 8105 8631 12068],[6.074063e-05 6.170189e-06 0.0003563299 0.0019125086 0.99646986 0.0009769732 0.00021751017]
32,[7 2284 3116 10983 12241],[0.19160374 0.14368594 0.66215754 0.0005496244 0.0020030858]
33,[8 3913 7557 9224 10977],[0.0013024532 0.054592587 0.18040924 0.7619298 0.0017659109]
34,[8 12026],[0.9754415 0.024558498]
35,[9 107 2424 3395 3608 4172 4696 5710 5984 9650 10336],[3.5577832e-05 0.04081062 7.3632907e-07 0.0003326841 2.9600517e-06 0.1752707 0.0013741871 0.5916994 0.13897353 0.04909439 0.0024051366]
36,[9 1335 2293 6790 7114 9244 10760],[1.0748623e-05 0.00023431935 0.0015712138 0.9742013 0.021082088 0.0028166217 8.36275e-05]
37,[9 4125 8999 10766],[0.00058065035 0.91112566 0.08761821 0.00067542354]
38,[9 5249 12250],[1.798778e-05 0.9998604 0.000121562414]
39,[10],[1.0]
40,[11 91 106 2153 2287 11872],[0.00034568354 0.6868359 0.19018854 0.12090018 0.0017238249 5.9346967e-06]
41,[11 91 106 1352 2153 2287 7909 11872],[0.023971176 0.21800666 0.010663069 6.690524e-05 0.39462054 0.32052544 0.028268471 0.0038778402]
42,[11 91 106 2153 2287 11872],[0.00091410865 0.98528385 0.0033111211 0.0007747352 0.0095831305 0.00013310384]
43,[11 91 106 2287 11872],[0.0033506933 0.8352487 0.12785351 0.027764848 0.0057822973]
44,[11 106],[0.002059157 0.99794084]
45,[12 830 833 880 1136 1259 1282 1473 1492 1621 1889 2292 3110 3169 3180 3330 4094 4112 5334 5570 5765 5802 9548 9840 11197],[0.0012208675 1.3143925e-05 7.327353e-05 3.1626194e-05 1.5465543e-05 1.3519166e-05 3.5838606e-05 2.7390373e-05 2.988126e-05 0.0005964816 5.2741474e-05 0.00029370128 0.0023753387 0.005975956 2.8026176e-05 0.98564506 0.000593104 0.0004855115 1.580614e-05 3.162912e-05 8.443204e-05 3.150004e-07 0.0008971392 0.0011587036 0.00030514513]
46,[12 314 793 1312 2140 2503 4568 10480 11121 11248 11879],[0.43557847 0.00010870167 2.6800308e-06 0.00011148787 0.55875057 0.00026846663 3.5390938e-05 0.0007389021 0.001296884 0.0016691649 0.0014392388]
47,[12 569 868 1467 2946 2959 4173 5094 5408 5796 6018 6044 6119 8412 10038 11134 11307 11541],[5.3635937e-05 4.0134873e-06 7.144815e-07 7.591981e-06 0.029132586 0.00013848353 8.471232e-05 0.077946715 0.026338847 0.043860376 0.00042043382 0.0077593676 0.058164634 0.7552298 0.0007226593 9.4611736e-05 1.3753977e-07 4.070477e-05]
