2177,[942 968 988 1107 1193 1196 1210 1466 1666 3014 3184 3292 4494 5446 9748 10592 11471],[0.0003613566 0.00075623416 0.0024952467 0.000315908 0.00011135142 0.0013759445 0.00040246325 0.018040918 0.00044891489 0.42351753 0.0071524153 0.23425703 0.016775088 0.16173619 0.0025468366 0.12826951 0.0014371846]
2178,[943 1658 2008 2310 3414 6941 7594],[2.0363932e-05 4.425737e-05 0.010932567 0.028600669 0.94674593 0.013074073 0.000582237]
2179,[944 1836 2329 6627 12250],[0.00070166885 0.0022029649 0.0029414576 0.9933074 0.000846528]
2180,[944 1335 3816 4172 10809],[0.030491704 0.011095748 0.04151499 0.37199366 0.54490393]
2181,[944 12310],[0.0133276805 0.9866723]
2182,[944 2329],[0.00038985224 0.9996101]
2183,[945 8485 10783],[0.003952498 0.89095306 0.10509452]
2184,[945 1519 2340 2687 4621 9159 11317 12065],[5.0579994e-05 9.057457e-06 0.93921065 0.039821602 0.00022303962 0.019683018 8.071422e-05 0.0009212409]
2185,[945 2770 5405 8392 10317],[0.0011899323 0.6816545 0.16025896 0.14808309 0.008813461]
2186,[949 2131 3799 4323 4334 4784 5586 5948 7189 9382],[1.5632785e-06 0.5845759 0.2104148 0.00032244404 0.005612787 1.7135631e-05 0.015679205 0.17832945 0.002135841 0.0029108233]
2187,[949 2322 2670 2833 3518 4282 4784 5302 5451 5477 5892 6185 8605 10555 10621 11401],[1.6836108e-07 0.00013230596 0.03229187 7.582339e-05 0.0022826924 0.07909129 0.12863213 0.009815136 0.18056913 0.0007180437 0.0042222287 0.0060037384 0.52438104 0.023591803 0.0010498378 0.0071427505]
2188,[949 1019 2720 4340 7661],[0.042873453 0.019480357 0.8800097 0.021721723 0.03591472]
2189,[950 1660 11834],[0.024254698 0.17210445 0.80364084]
2190,[951 1275 1367 3957 4061 4360 4420 5114 6395 9366 10017 12102],[6.353644e-07 0.00037107078 6.108953e-05 0.018915659 0.6253561 0.029586261 2.601177e-05 0.00018788192 0.131051 0.005880021 0.18854912 1.5085948e-05]
2191,[954 4066 8055],[0.0019552277 0.0067520966 0.99129266]
2192,[955 3751 7014],[3.6166435e-07 0.00033644153 0.99966323]
2193,[955 1376 1426 2792 5216 5395 6579 7383 10415 12250],[1.0735384e-06 6.420928e-05 1.59902e-06 0.00011404199 0.4329706 0.004739826 0.41575605 0.1459796 0.0003588208 1.4179596e-05]
2194,[955 1759 10203],[8.015132e-06 0.99904984 0.0009421092]
2195,[956 1103 9784 11254 11892],[0.0075269556 0.0059895227 0.94778866 0.029296553 0.0093983635]
2196,[957 3531],[0.00018649016 0.9998135]
2197,[958 8399 9655 12091],[0.004820243 0.6701202 0.28711364 0.037945926]
2198,[958 5040 10998],[0.00049368077 0.8659754 0.13353103]
2199,[959],[1.0]
2200,[959 4199 6265],[0.014027409 0.7081646 0.27780798]
2201,[960 1749],[0.0043401103 0.9956599]
2202,[960 1466 3514 4200 4869 11793],[0.00022091712 0.00035395852 0.6743249 0.30657884 0.017888337 0.0006329952]
2203,[962 2419 3318 4667 7101],[2.093222e-07 0.9328864 0.04191466 0.007824005 0.01737475]
2204,[965 2725 4140 8510 10209],[0.0003762549 0.13424803 0.0052301353 0.7848646 0.07528088]
2205,[967 8801],[0.0010635236 0.9989365]
2206,[967 1548],[0.011162062 0.98883796]
2207,[969],[1.0]
2208,[969 5759 10471 12132],[5.749248e-05 0.1733317 0.01448253 0.8121283]
2209,[969 2131 2312 2377 2381 2641 3684 3779 4134 4983 6633 6872 7075 8161],[2.096334e-08 2.0952518e-07 0.00078802486 3.020056e-05 0.00037200694 6.472315e-05 2.5378179e-06 1.8196339e-06 0.040262077 2.7821739e-07 0.0053643207 0.2470664 4.53014e-05 0.7060021]
2210,[970 2851 3706 3762 3886 7597 11190 12010],[1.5877514e-08 0.00019823686 0.016755221 0.00023006911 0.00062367914 0.97975403 0.0024383087 4.2844138e-07]
2211,[973 3037 5222 5796 6272 9610],[4.3062817e-11 0.00019074176 1.7662848e-06 0.99061567 2.2601826e-05 0.009169205]
2212,[976 1771 2233 2472 3434 3780 3787 5362 5444 5832 6233 6669 7354 7465 7876 8058 8309 8498 8741 8774 8808 9963 11052 11588],[1.0448407e-09 3.783028e-07 3.0819984e-07 4.4784983e-07 1.4561732e-05 0.0001365798 1.3662258e-05 2.6007351e-06 0.003849887 0.9195421 0.00072997046 6.851989e-05 0.0011038772 2.5247427e-05 3.2217882e-05 0.063465156 1.5106158e-06 3.520709e-07 0.0014911775 0.002452796 0.004113878 0.0029526441 2.2397835e-06 2.3521308e-08]
2213,[977 5510 7273 8639],[1.215078e-05 0.0022932885 0.8919003 0.10579428]
2214,[977 1476 2069 3302 4832 7593 11178],[3.181819e-08 1.0862794e-06 0.00013651635 0.0006088989 0.97923 0.020012405 1.1092124e-05]
2215,[979 5275],[0.1766225 0.8233775]
2216,[980 1153 2619 6016 10690],[6.649025e-08 4.8277613e-08 0.00013636015 0.999863 4.7581455e-07]
2217,[980 2874 4821 5644 8375 10985 11040 11230 11405],[2.1880856e-05 0.05291054 0.43132752 0.007546643 0.49177688 0.0032353234 0.0011502872 0.0109321745 0.0010987108]
2218,[981 4115],[0.53669983 0.46330014]
2219,[983 1296 1948 8848 10701],[0.000571006 4.761461e-06 0.007331817 0.053182542 0.9389099]
2220,[984 2221 2356 4357 4502],[1.151016e-05 0.0016125005 0.0066302 0.6976903 0.29405543]
2221,[984 2351 5793],[2.0534313e-05 0.07027764 0.92970186]
2222,[985 1100 3465 11521],[0.1254991 0.1269481 0.37575978 0.371793]
2223,[985 2032 4139 4348 4718 9646 11386 12222],[0.000236363 0.0006152258 0.8866573 0.0025248686 0.008617034 0.09332564 0.0060635116 0.0019601677]
2224,[986],[1.0]
2225,[986 1341 1386 2099 2327 3024 3957 4310 4714 4967 8165 10067 10925 11767 12256],[0.0008266743 3.3823828e-05 0.081991225 0.016447803 0.0007708035 0.14174394 0.120201506 0.0003308962 0.0009850677 0.002401767 0.22964281 0.3915029 0.005143951 0.003855784 0.004121026]
2226,[989 1994 2058 4621 10573],[3.6110625e-06 0.003928441 0.9709179 0.00763642 0.017513694]
2227,[989 9300],[0.011099469 0.98890054]
2228,[990 1027 2988 3275 4494 5129 7969 10747 11076 11515],[1.2696511e-06 8.805703e-05 0.6841441 0.00048675487 3.7896483e-05 0.3134481 0.00054144976 1.00345615e-05 0.0011353788 0.00010705482]
2229,[990 1763 2625 2716 3008 3056 3087 3204 3768 3871 11256],[1.0941103e-05 0.027211767 0.0077145896 0.11680226 0.0103479335 0.04032965 0.36894584 0.35980615 0.00014590635 0.0035695808 0.06511542]
2230,[991 1717 2171 2503 2644 3531 4597 4810 9384 9634 9789 10194],[8.778482e-09 9.411208e-06 0.20839974 0.010832695 0.0007436864 0.0041866484 8.096108e-05 0.0004965357 0.40921348 0.3642544 0.000711721 0.0010707986]
2231,[991 5627],[6.7310255e-05 0.99993265]
2232,[993 2599 3456 4627 8535 10232 10929 11056 12120],[0.0062782452 0.13193561 0.005898999 0.033102643 0.43464524 0.37872598 0.0084067425 0.0006951743 0.00031141055]
2233,[994 4711 6815 10797],[6.159585e-07 0.0003745519 0.99505204 0.0045728036]
2234,[995 7765],[0.036824755 0.96317524]
2235,[997 1883 2607 2893 3312 4094 6337],[2.1154983e-07 0.00015182816 0.0009582013 2.3131895e-06 0.00082081795 0.30768612 0.6903805]
2236,[999 1644 3275 4464 5553 7582 10262 11566 12177],[1.935081e-06 0.00037301474 0.0069740494 0.0023318983 0.84863776 0.016960755 0.12445618 0.00025846652 5.8219725e-06]
2237,[1000 6361 6655 9412 10655 10882 12295],[1.570166e-05 0.89923227 0.059746653 0.03830072 0.002667281 1.0760239e-05 2.6610522e-05]
2238,[1000 11924],[0.013672009 0.986328]
2239,[1000 1880],[0.032344453 0.96765554]
2240,[1001 1716 2892 3576 5594],[6.569263e-05 0.005057468 0.6412364 0.002991303 0.35064918]
2241,[1002],[1.0]
2242,[1002 7529],[0.009729132 0.99027085]
2243,[1003 8411 9575 10490],[1.9485508e-06 0.02236412 0.9080454 0.06958847]
2244,[1003 8375 11029],[1.980769e-09 0.99999905 9.609973e-07]
2245,[1003 2743],[0.0037032587 0.9962967]
2246,[1004 6916],[0.00049120554 0.99950874]
2247,[1005 1452 1637 7645 10523 10774 10797 11141 11772],[8.292237e-05 5.7857105e-06 0.0031149436 0.9887581 0.006775173 0.00027392202 3.1803844e-05 0.0008829326 7.4410425e-05]
2248,[1005 9070],[5.896531e-08 1.0]
2249,[1006 1106 1662 3928 5837 5936 10681 11953],[1.9878537e-06 1.0377871e-05 0.00010963156 0.00015117228 0.00032351524 0.9993899 4.8091315e-06 8.59634e-06]
2250,[1006 2824 3501 3918 4786 5058 7338 10353 11221 11608 11733 12211],[3.4807687e-07 0.034984622 0.017069325 0.026887696 0.0035254403 7.858358e-05 0.90635145 0.0011729668 0.0075192824 0.0022628964 3.860017e-05 0.00010879307]
2251,[1007 11239],[0.014019133 0.98598087]
2252,[1008 4752 4871 5003 5583 6580 6658 7352 7534 8984 9095 10179 11333 11631 11862 12358],[7.626372e-08 0.012465311 0.115401946 0.00697822 0.0010672648 0.012696992 0.7720124 0.05293245 0.00016593625 0.009376721 0.006385852 1.1701082e-05 0.009313321 1.756512e-05 3.960449e-07 0.0011739014]
2253,[1009 1042 1055 1076 1094 1155 1194 1985 2032 4949 6625 7558],[0.031941235 0.17753917 0.06957065 0.02049654 0.08480658 0.014191133 0.020688353 0.0012332188 0.02700988 0.21892802 0.23186365 0.101731524]
2254,[1010 1335 2320 2455 2830 3561 5131 9827 11328 11815],[9.0749546e-07 4.413119e-05 2.817036e-05 0.0127666425 0.0010351118 0.0002765398 0.078109466 0.010893514 0.8937901 0.0030553627]
2255,[1010 2178 10102 10142 10158 10700 11057],[0.00018114252 0.68873256 0.0029040875 0.037512343 0.14071883 0.07660225 0.05334884]
2256,[1010 12113],[0.0039576325 0.9960424]
2257,[1010 9238],[0.00048558056 0.99951446]
2258,[1011 11085],[0.001628297 0.9983718]
2259,[1011 2047 3767 5454 12184],[1.7109554e-05 0.015225082 0.00070511334 0.98263687 0.001415894]
2260,[1012 1059 1264 1340 1394 1481 4186 4721 5102 5159 5208 5571 5966 7278 10483 11101 11433],[7.4130425e-05 4.5139433e-05 7.238696e-05 0.0021938968 0.0002963295 0.0006564902 0.004687675 0.015948843 0.003887594 0.011668979 0.5600752 0.0068410463 0.003221392 0.107278205 0.26615307 0.016051896 0.00084781327]
2261,[1012 1401 1430 5570 9652 9736],[0.0007713478 0.019355249 0.02379726 0.58796 0.00011755055 0.3679986]
2262,[1012 1059 2224 3646 4804 4994 6768],[2.1442036e-06 1.2954092e-06 0.00057706144 0.0004914344 0.17613511 6.8912734e-05 0.822724]
2263,[1012 5769 8337 9874 10344 11379],[7.5628094e-07 0.0003143352 0.9528458 0.015150372 0.030261038 0.001427595]
2264,[1015 1238 5415 5908 9174 11822],[0.0006996072 1.4424466e-05 0.2442475 0.31630617 0.43869913 3.322039e-05]
2265,[1017 1254 1846 2241 4434 5358 5482 5866 6708 9171 10391 10537 10577 11737 12285],[4.3482387e-07 0.00028818657 0.0053629107 0.0071969903 0.001280138 0.29745162 9.301707e-06 0.04521128 0.16304237 0.46781808 0.00039674947 0.010578549 0.0005179775 0.0008420018 3.4591442e-06]
2266,[1018 2677 2897 3387 3643 3992 3993 4208 5392 6583 6584 7262 7272 7453 7637 8496 11558],[7.594903e-08 0.113571234 0.033693094 0.005741183 1.5708458e-05 0.048778467 0.0007085896 0.0010764076 0.024310278 0.07227431 0.038088575 0.0016816033 0.018482657 0.035483636 0.00041575823 0.6053417 0.00033688208]
2267,[1019 1294 3007 3402 3457 4119 6066 6261 6383 6632 7049 9573 10265 10548 10694 11052 11374],[3.4451918e-07 0.00019775784 0.0003767163 0.0009822891 0.0111259 0.02174822 0.0007737443 2.6414573e-05 0.061838683 0.03941611 0.10545622 0.632344 0.00046566062 0.035587315 0.089598425 3.7537004e-06 5.844562e-05]
2268,[1019 3208 3677 3845 5083 5369 8498 10193],[0.0024034008 0.02233046 0.38404316 0.0019491604 0.011199123 0.02261558 0.3094116 0.24604747]
2269,[1020 7532 8492 10112 10252 11955],[3.3013619e-06 0.7356465 0.21175428 0.052520387 7.389194e-05 1.622105e-06]
2270,[1021 7846 9277 11168],[1.0942228e-05 0.019240158 0.9805535 0.00019535962]
2271,[1022 3592],[0.042702854 0.95729715]
2272,[1023 2435 9528],[0.0023513164 0.9269222 0.07072655]
2273,[1025 3048 3860 4187 4627 5707 7128 8564 10391],[1.1469768e-07 0.7297046 0.00036308446 0.00076128676 6.226892e-05 0.24773628 0.00064052746 0.019852364 0.0008794663]
2274,[1027 2644 4531 6314 9128 10301 11056],[1.5720443e-05 0.0012185498 0.027938336 0.5270294 0.42380625 0.0014063239 0.018585486]
2275,[1028 6412 7566 7637 12314],[9.0776024e-07 0.0005082601 0.10120899 0.8982728 9.122875e-06]
2276,[1028 6011 10965],[1.468761e-07 0.9999471 5.2816464e-05]
2277,[1028 1299 2910 2961 3110 6511 6738 8434 9840 11274 11488],[0.00036078942 0.00014176624 0.117811374 0.0012863387 0.01368288 0.83394945 0.008870263 0.01972416 0.0009555347 0.003111107 0.00010641827]
2278,[1030 1625 3031 8317 8795],[0.00085040694 9.910239e-05 0.0038353293 0.0010664412 0.99414873]
2279,[1031 1638 3661 6064 6243 6551 9134 10305 11682],[0.00014186135 0.00035184028 0.0057151895 0.0016920334 0.9846591 0.007033183 0.0003296935 6.2300114e-06 7.083945e-05]
2280,[1032 6398],[7.678714e-06 0.9999924]
2281,[1032 4285 7734],[0.00033367993 0.0136760045 0.9859903]
2282,[1033 3769],[0.00134912 0.99865085]
2283,[1033 7991],[2.1750506e-07 0.99999976]
2284,[1033 1956 2161 7069 9498 12069],[0.0112550985 0.013858639 0.16376504 0.24396801 0.002085426 0.56506777]
2285,[1034 1283 4569 4614 7394 12083],[5.737959e-05 0.00029085582 0.06662227 0.21386603 0.7186658 0.00049774634]
2286,[1034 3106 3193 4020 4366 5359 8874 10444 10717 11211 11821 12105],[3.924615e-05 0.0053534936 0.0011258633 0.001996042 0.0104186125 0.89240265 0.024251113 0.0017555332 0.045993585 0.001823762 0.014712501 0.00012762977]
2287,[1037 2982 4223 8350 9170 10137 10977],[1.6394697e-06 0.00047648887 0.9834011 0.00088141114 0.01522102 4.6551977e-06 1.37099605e-05]
2288,[1037 4600],[0.012076548 0.98792344]
2289,[1037 7243 11741],[3.7716077e-06 0.9756752 0.024321035]
2290,[1038 1102 1808 2431 2781 3638 4392 4403 4442 5951 7804 8845 8981 9966 10244 10515],[3.8324913e-11 5.3349747e-10 3.7771695e-06 4.7879973e-07 1.5875095e-09 7.6150474e-07 4.132626e-06 2.6673615e-06 0.0017251757 8.9120425e-05 0.00040006265 3.6987114e-08 0.00010746582 0.99764854 1.7679085e-05 1.82573e-07]
2291,[1039 1710 3394 3813 4437 4804 4874 8549 8558 8559 8904 9968 9987 11005 11204],[2.7897855e-05 0.0004096861 0.0021484194 0.0018044 0.5493993 0.0057579433 0.21793042 0.008229303 0.0014178419 0.113914795 0.006682663 0.005563302 0.085587904 0.00016470076 0.0009614577]
2292,[1039 2692 3231 5826 6430 11093],[1.5519795e-06 0.16638114 0.08261913 0.011019751 0.7398946 8.378732e-05]
2293,[1039 1710 2277 2468 2806 4547 6421 9505 10507],[1.5122188e-05 0.00050978287 0.014844143 0.2806124 0.5444266 0.13381869 0.00043555393 0.022219859 0.0031178037]
2294,[1043 1904 2702 3238 3505 4735 6353 6400 7890 9096 10500 10678 10812 10861 12215],[1.9104392e-07 0.0006496076 0.0085967565 0.0024244864 0.00040447936 0.00022375092 4.192072e-05 0.0014630305 0.8386797 0.14720628 0.00016974332 5.0099286e-05 2.3873501e-05 6.211206e-05 3.9866463e-06]
2295,[1043 4360 10042 10201 11772],[2.7447966e-05 0.00720371 0.93945175 0.053107113 0.00020996844]
2296,[1044 3060],[0.00050966727 0.99949026]
2297,[1045 1144 3647 7282 9339],[5.84743e-07 3.5548215e-08 0.0024126759 0.99472517 0.0028615806]
2298,[1045 2927 3571 5598 11850],[2.6683443e-05 0.00034454773 0.9902103 0.00939307 2.5367382e-05]
2299,[1045 1215 1662 2951 5755 11111],[6.50087e-06 4.6073788e-07 5.945944e-06 0.004732681 0.99524903 5.3205904e-06]
2300,[1046 2886 3214 5724 6310 8848 9332 9828 10332 10462 11347 11400],[5.040186e-07 0.00019944308 0.013440702 0.095435515 0.08141776 2.6929796e-05 0.5753078 0.0065607224 0.22755003 2.750029e-06 6.043351e-07 5.7210098e-05]
2301,[1047 1231 1593 1866 2319 3706 4951 6954 7285 7623 9653 10187 10444 10717 11799 12105 12383],[2.940178e-08 2.2226418e-08 3.5867035e-07 0.8742026 4.332662e-05 0.0001583538 3.3450012e-06 5.7436887e-07 0.00091232924 0.007842473 0.108472146 0.0014967179 0.004836349 0.0018082915 9.961651e-05 0.00012210917 1.3287845e-06]
2302,[1048],[1.0]
2303,[1048 8430],[1.4927986e-05 0.9999851]
2304,[1049 2821 2892 3622 3634 6676 8732 10510 10774 11920],[1.1764353e-06 0.8004801 0.1258677 0.00015629562 0.035317846 0.012158104 0.0016376289 0.024324834 1.0844989e-05 4.552832e-05]
2305,[1049 1527 1716 1790 2073 2449 5737 7577 8612 9657 9684 11106],[0.000111574656 0.0011179674 0.013886439 0.005268504 0.0037367411 0.0023200284 0.53371954 0.04603175 0.013304627 0.041549772 0.33875233 0.00020071087]
2306,[1049 1175 7910 9402 11259],[0.00021821097 0.00027380596 0.8909625 0.10191424 0.006631181]
2307,[1053 2338 6089 8034],[7.7339666e-07 1.5283003e-05 0.9999368 4.713453e-05]
2308,[1053 1890 2692 4200 4869 10746],[2.1338754e-05 0.0074638277 0.9889654 0.0019896412 0.00075441244 0.0008054141]
2309,[1053 6047 9500 9673 10142],[5.731609e-07 0.9984273 0.00014870054 0.0012721505 0.00015141504]
2310,[1054 1414 1462 2718 3695 9908],[0.005824528 0.024321621 0.04958934 0.6913274 0.0010431262 0.22789401]
2311,[1054 3901 4080 5136 8420],[1.5532487e-05 0.00036895197 0.7685478 0.0012993272 0.22976841]
2312,[1056 1093 3303 4367 5810 7444 9454 10834 11873 12051],[0.00026379369 0.00030083852 0.021590717 0.20483814 0.002658912 0.031676535 0.06527261 0.008310475 0.005222473 0.65986556]
2313,[1057 10257],[0.33847955 0.6615205]
2314,[1057 7370],[0.00030519906 0.9996948]
2315,[1058 3716 4361 6764 9135 9501],[1.2837527e-05 0.002045699 0.020000942 0.971191 0.0058388887 0.00091061916]
2316,[1059 1870 4809 6084 8526 11759],[3.494283e-07 0.0019090871 0.0012952433 0.06600659 0.93078667 1.9722027e-06]
2317,[1060 5060],[0.16488497 0.8351151]
2318,[1062 1444 1698 2261 2332 2558 3425 4028 4142 4323 4580 5235 5676 6164 6231 7194 7204 7581 7741 7982 8103 8369 9382 9425 10392 10525 10863 10892 11420 11854],[2.4018334e-09 2.0892459e-09 3.0972625e-08 7.867453e-06 1.1173495e-07 0.0025392503 5.801287e-07 0.00059235515 1.2552004e-05 0.0011951015 5.4018146e-06 7.484644e-06 0.0007129427 0.33734152 0.0007341845 4.0810864e-06 1.2054037e-05 0.0047486834 0.00030222908 0.6299485 0.0025596174 0.0013277335 4.3691838e-05 0.017840192 8.1847156e-07 7.790023e-08 1.579637e-06 5.0672206e-05 1.07102e-05 1.2344333e-08]
2319,[1062 4146 4923 8394],[1.677152e-07 0.00018132513 0.0051559764 0.9946626]
2320,[1063 6970],[1.0338e-07 0.9999999]
2321,[1063 4746 9276 9798],[8.760218e-09 1.3031836e-05 0.9979196 0.0020673359]
2322,[1064 1617 8778 10433],[0.00029263023 0.0020617086 0.4995673 0.49807832]
2323,[1064 2723 4816 12279],[0.3027853 0.025832811 0.21241932 0.45896253]
2324,[1067 10182],[0.028441723 0.9715583]
2325,[1068 1593 1666 1702 1821 1953 3180 5145 11307],[0.00022949037 0.0046259006 0.010565875 0.005822112 0.36318743 0.27117264 0.27166483 0.06851668 0.0042149727]
2326,[1071 4949 10709],[2.3874083e-05 0.9997924 0.00018381349]
2327,[1071 1461 3769],[0.017026333 0.016889477 0.96608424]
2328,[1072 3421 3882 4374 4625 4667 12302],[3.7522e-08 0.00051675463 0.64442605 0.013275275 0.3366553 0.0049439413 0.00018271548]
2329,[1073 1085 1125 1233 1766 2244 2356 3353 3558 5932 7513 10394 10785],[4.6665515e-05 1.6491897e-05 1.985436e-05 9.696806e-06 7.362175e-06 0.94653225 0.040239185 0.00010704839 7.599433e-06 0.00286635 0.0077534844 0.0012010938 0.0011930517]
2330,[1075 2330 7930],[0.00015969803 0.037725996 0.9621143]
2331,[1075 11709 12179],[0.003890126 0.7579821 0.23812783]
2332,[1077],[1.0]
2333,[1077 1675 4925],[0.00020320274 0.7269025 0.27289432]
2334,[1077 7782],[0.0014296677 0.9985703]
2335,[1079 1130 1744 2489 2928 3468 9337],[5.4449656e-06 1.0638088e-05 0.28548637 0.14955214 0.06822624 0.46223548 0.034483634]
2336,[1080 2388 5973 7440],[5.029238e-07 0.8753041 0.06845928 0.05623611]
2337,[1080 3598 7608],[8.074369e-08 0.0011138199 0.99888617]
2338,[1080 1862 5354],[1.2733469e-06 0.09597467 0.904024]
2339,[1081 1890 4363 6868 10718 10935],[0.00014667847 0.00048863876 0.43410337 0.4842265 0.080355175 0.00067967834]
2340,[1081 1641],[0.024948653 0.9750514]
2341,[1081 7219],[5.6108987e-05 0.99994385]
2342,[1082 4699 8044 11624],[0.018102296 0.78451264 0.18752357 0.009861445]
2343,[1083 1123 2039 6269 8872],[1.6616626e-05 1.1734877e-05 0.0003068811 0.997771 0.0018937408]
2344,[1084 3989 6001 6578 7390 11429 11638 11999],[0.000100302685 0.0006711471 0.91922307 0.0015008121 0.010197428 0.00956994 0.058735225 1.9638385e-06]
2345,[1086 5334 9300],[4.7903894e-05 0.5031285 0.49682355]
2346,[1088 1609 1841 3872 4500 4564 5399 6104 6757 6801 7541 7801 9407 9549 11191 11540],[9.378131e-07 5.912147e-05 0.0075434465 0.3683526 1.8064078e-05 0.0013683002 0.0005363376 0.0015270839 0.017833563 0.24817522 0.28626946 0.06645255 0.00012703867 0.0014313922 0.00027834732 2.6521167e-05]
2347,[1088 4058 7759 7857 9956 10362 11897],[2.1086813e-05 0.009700508 0.9182295 0.06300174 0.004198716 0.0016590644 0.0031892806]
2348,[1091 1240 1793 3851 5061 6928 9245 9829 11409],[9.620582e-07 7.3243186e-08 0.0005540417 0.13300444 0.002354603 0.0013849523 0.8616535 0.001046159 1.1073981e-06]
2349,[1093 2149 2669 4796 5892 6009 7251 9711 9793],[6.8667205e-08 3.5699497e-05 4.4978074e-06 9.955699e-05 0.13827942 0.8313105 0.0002238638 0.0004984995 0.029547825]
2350,[1093 1447 1914 2735 3936 4175 4936 10508 11075],[1.9971045e-05 0.0022545524 0.057292107 0.2993494 0.44632226 0.0066424552 0.0011526301 0.18520355 0.0017631094]
2351,[1093 3405 4599 8369],[0.008330511 0.13088113 0.14366832 0.71712]
2352,[1094 2810 7265],[6.067954e-06 0.9951047 0.0048892954]
2353,[1094 4229 11002],[0.0003401682 0.49046022 0.5091997]
2354,[1095 9536],[0.00033518518 0.9996648]
2355,[1095 5897 7494],[3.1533684e-05 0.5523862 0.44758222]
2356,[1096 1223 4173 6425 9910 10648 11071 12202 12203],[1.1028111e-06 3.765644e-07 0.0022540267 0.99580353 0.00012595062 0.0016163123 1.6608203e-05 6.6783928e-06 0.00017551053]
2357,[1096 8859 11531 11668],[1.9328281e-05 0.9963814 0.002422336 0.0011769045]
2358,[1097 8249 11468],[0.009453483 0.9303549 0.06019166]
2359,[1098],[1.0]
2360,[1099 1548 2745 7567 12091],[0.00048162276 5.0785304e-05 4.754702e-06 0.9994448 1.8056822e-05]
2361,[1100 1123],[0.1641771 0.83582294]
2362,[1102 4000 6031 6634 9012],[4.4255535e-07 0.0021555081 0.10691361 0.8456357 0.045294818]
2363,[1103 4058 9699],[0.00019346632 0.98967034 0.010136238]
2364,[1103 2576 2765 5660 6112 9209],[0.00021795866 0.0005089816 0.17531975 0.7147882 0.09020005 0.018964993]
2365,[1105 6536],[3.0843556e-05 0.9999691]
2366,[1108 3919 5552 10069 11434],[3.5643936e-06 0.0006587291 0.03508563 0.9642473 4.770482e-06]
2367,[1109 2279 6518],[0.0002863669 0.06731161 0.93240196]
2368,[1110 2189],[0.0029695723 0.9970304]
2369,[1111 1808 2548 4419 4508 4659 6139 6352 6533 7590 7943 8981 9966 10515 10572 12020],[2.5766553e-08 1.4372423e-06 2.1911099e-05 0.00038249203 0.049218215 0.0013452873 2.0762249e-05 0.014495597 0.00040118286 0.7009473 0.22557402 0.0024898858 0.0050397213 5.0430644e-05 7.3342394e-06 4.3806945e-06]
2370,[1115 1138 3276 10354 11842],[0.15356803 0.38462317 0.004093888 0.26901904 0.18869588]
2371,[1117 1176 1800 2051 2619 2678 3728 4147 9227 9684 11207 12136],[9.053832e-07 2.4012266e-07 3.11802e-06 3.6201982e-05 0.00017114272 3.902902e-05 0.99571097 0.0009689346 9.777902e-05 0.0020769353 0.0008920104 2.7475419e-06]
2372,[1117 5147],[0.0005419483 0.999458]
2373,[1119 2745],[0.003440483 0.99655944]
2374,[1120 3537],[0.0033832972 0.99661666]
2375,[1123 2988 4464 5218 6683],[3.627241e-06 0.9319402 0.00029730416 0.067475796 0.00028302163]
2376,[1123 4094],[0.03888929 0.9611107]
2377,[1124 1453 2471 5408 5637 5777 6413 7566 8564 9586 10197 10347 10381 10468 11372 11393 11507 11541 11651 11789 11912],[2.9257643e-09 4.4451536e-09 9.9585865e-05 0.017709339 2.369599e-06 0.0006381283 0.0039168876 0.001002476 0.97582346 0.00056109205 3.0447447e-06 1.2583166e-06 3.5536634e-06 2.1144372e-07 3.241319e-09 6.794165e-05 2.1508544e-07 4.099804e-05 7.2919704e-08 0.00012923294 8.288899e-08]
2378,[1126 1168 6825 7759 10571 11936 12023],[0.00024767913 0.00031508424 0.16696669 0.10094367 0.6681342 0.0044204015 0.05897228]
2379,[1126 3476],[7.450334e-06 0.9999926]
2380,[1127 1854 2224 2632 3217 7203 8519 12238],[3.885676e-06 0.026467087 7.874951e-05 0.075350955 0.0001302106 0.6550642 0.19222173 0.05068305]
2381,[1127 2195 5802 6595 10093 11351],[2.4524451e-09 0.00014074624 1.1998976e-05 0.99983716 9.405817e-06 5.991723e-07]
2382,[1127 5878 8026 9932],[3.159564e-07 0.059123285 0.64826536 0.29261103]
2383,[1129 2661 4535 5190 9204],[2.371916e-05 0.00015462264 0.0028869645 0.008687091 0.9882476]
2384,[1131 1740 5326 8984],[4.644271e-07 5.177742e-06 3.3349916e-05 0.999961]
2385,[1132 4300 11557],[0.0009936894 0.99063617 0.008370163]
2386,[1133],[1.0]
2387,[1133 1234 11643],[0.16754441 0.80016226 0.03229336]
2388,[1133 3550 11867],[9.964135e-06 0.9969236 0.003066414]
2389,[1134 1472],[0.052649844 0.9473502]
2390,[1135 1143 7016 10965 11280 11943],[0.0001930218 7.470146e-05 0.95819193 0.007404891 0.021526985 0.012608504]
2391,[1136 5320 6659],[7.949691e-06 0.0013493195 0.99864274]
2392,[1137],[1.0]
2393,[1137 2256 5061 5179 5482 5957 7673 9607 10229 11373 11689],[1.6631245e-07 6.7251094e-05 0.36636877 0.0068483194 0.090175375 0.5323131 0.0011369269 0.00034697368 0.0012552714 4.9241166e-06 0.0014829369]
2394,[1137 9958 11689],[0.001063483 0.972475 0.02646156]
2395,[1138 11129],[0.4509125 0.54908746]
2396,[1139 10990],[0.00985577 0.99014425]
2397,[1140 1167 4363],[1.7049773e-05 0.00016388111 0.9998191]
